0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Pose
166.0,163.0,163.0,188.0,-1.0,167.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,162.0,167.0,158.0,173.0,plank
240.0,219.0,216.0,241.0,-1.0,226.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,236.0,-1.0,226.0,-1.0,plank
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,plank
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,plank
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,plank
181.0,164.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,175.0,-1.0,165.0,-1.0,plank
183.0,164.0,163.0,205.0,-1.0,167.0,209.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,180.0,183.0,166.0,-1.0,plank
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,plank
-1.0,126.0,116.0,158.0,187.0,141.0,182.0,230.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,129.0,-1.0,120.0,-1.0,plank
-1.0,115.0,114.0,155.0,186.0,115.0,154.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99.0,plank
132.0,147.0,155.0,186.0,-1.0,140.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,130.0,126.0,133.0,122.0,plank
155.0,133.0,126.0,159.0,-1.0,141.0,160.0,188.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,153.0,-1.0,140.0,-1.0,plank
122.0,121.0,124.0,164.0,193.0,118.0,164.0,194.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,118.0,-1.0,110.0,plank
133.0,137.0,141.0,180.0,206.0,132.0,-1.0,-1.0,168.0,198.0,-1.0,161.0,189.0,-1.0,132.0,131.0,132.0,123.0,plank
133.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,133.0,124.0,-1.0,120.0,plank
220.0,201.0,196.0,-1.0,-1.0,201.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,216.0,-1.0,202.0,-1.0,plank
-1.0,197.0,204.0,244.0,-1.0,189.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,193.0,176.0,plank
217.0,201.0,198.0,224.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,211.0,-1.0,201.0,-1.0,plank
156.0,140.0,130.0,190.0,241.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,150.0,155.0,137.0,-1.0,plank
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,plank
190.0,168.0,160.0,162.0,-1.0,177.0,199.0,212.0,191.0,194.0,-1.0,-1.0,-1.0,-1.0,185.0,-1.0,171.0,-1.0,plank
94.0,95.0,99.0,-1.0,-1.0,94.0,153.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.0,-1.0,78.0,plank
106.0,122.0,121.0,-1.0,-1.0,123.0,159.0,151.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,104.0,-1.0,104.0,plank
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,plank
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,plank
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,plank
127.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,123.0,127.0,-1.0,138.0,plank
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,plank
201.0,191.0,183.0,186.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,197.0,201.0,184.0,-1.0,plank
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,plank
87.0,79.0,-1.0,-1.0,-1.0,77.0,149.0,201.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.0,-1.0,67.0,plank
160.0,136.0,128.0,196.0,-1.0,142.0,192.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,153.0,160.0,135.0,-1.0,plank
166.0,184.0,171.0,124.0,96.0,206.0,-1.0,-1.0,175.0,-1.0,-1.0,-1.0,-1.0,-1.0,165.0,171.0,-1.0,187.0,plank
102.0,97.0,-1.0,-1.0,-1.0,100.0,138.0,164.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97.0,-1.0,91.0,plank
72.0,87.0,87.0,128.0,-1.0,88.0,121.0,193.0,124.0,-1.0,-1.0,118.0,-1.0,-1.0,-1.0,65.0,-1.0,60.0,plank
44.0,51.0,156.0,-1.0,-1.0,51.0,190.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.0,160.0,36.0,plank
196.0,195.0,186.0,250.0,263.0,211.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,191.0,-1.0,183.0,-1.0,plank
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,plank
98.0,96.0,93.0,-1.0,-1.0,101.0,127.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,93.0,-1.0,85.0,plank
206.0,197.0,196.0,225.0,246.0,199.0,225.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,202.0,-1.0,195.0,-1.0,plank
124.0,149.0,141.0,-1.0,-1.0,159.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,122.0,128.0,-1.0,143.0,plank
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,plank
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,plank
207.0,190.0,184.0,228.0,242.0,207.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,202.0,207.0,189.0,-1.0,plank
191.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,187.0,193.0,-1.0,202.0,plank
67.0,68.0,76.0,-1.0,-1.0,66.0,111.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60.0,-1.0,48.0,plank
87.0,101.0,102.0,-1.0,-1.0,101.0,165.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81.0,-1.0,75.0,plank
216.0,206.0,198.0,233.0,246.0,214.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,212.0,-1.0,200.0,-1.0,plank
